"","CA025","CA011","CA020","CA008","I065","I047","I063","P066","P052","P045","P050","C055","C067","C056","C062","T015","B021","T006","B008","B015","B017","H008","U020","U012","U019","U026","A011","A013","A019","A022","A027","A003","A006","A010","U006","L008","L022","L011","L017"
"ASV1",18,468,297,280,0,0,44,2405,0,0,4850,0,3,0,0,1,2,5121,3,320,136,43,0,0,0,5,0,0,0,0,100,0,0,0,0,0,0,1,0
"ASV2",17,41,70,14,1456,0,5,0,111,42,5,16,0,457,94,140,168,160,17,117,89,7,197,98,0,10,2693,34,1134,67,1028,325,493,1770,2,0,3728,1,12
"ASV3",0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4101,7,0,0,0,0,0
"ASV4",0,4,6,0,0,3,1,1,0,20,20,0,1,0,0,3120,5,48,0,1,0,0,0,0,0,0,0,0,0,0,9290,0,0,0,0,0,0,0,0
"ASV5",55,95,7,310,306,2,0,22,7,820,486,0,503,5,583,0,13,26,25,30,20,0,780,1315,749,248,0,0,0,0,0,0,0,0,148,0,0,0,20
"ASV7",0,159,32,0,3,26,6,6,0,0,0,0,0,0,0,0,86,0,0,0,0,9183,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3841,5,0,0,0,0,0,0
"ASV10",0,0,0,0,0,0,0,0,0,0,0,3619,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV11",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6781,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0
"ASV13",0,1,0,198,0,0,0,0,0,0,0,0,9,0,0,0,5,9,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV15",22,12,3,0,128,16,2,1,0,1,2,0,6,0,0,0,0,1,3,132,10,0,95,69,225,847,4,0,35,0,1,5,0,27,8,1403,651,10,2236
"ASV16",0,0,0,0,0,0,10456,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV17",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV18",6946,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV19",0,1356,0,116,0,3,1,1,0,0,0,0,0,137,1,1745,4,0,9,0,1132,560,0,1,0,0,0,0,1,0,0,100,0,0,0,2,5,0,0
"ASV20",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1088,660,0,0,0,0,0
"ASV21",3,0,0,3,46,75,2,304,19,644,39,0,2,430,154,1,9,15,6,49,112,0,16,20,0,0,0,0,0,0,0,2,22,33,15,1824,0,0,12
"ASV22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,0,0,0,0
"ASV23",0,0,0,0,0,0,0,0,0,0,0,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV25",2,5,3,0,157,5,3,40,110,103,0,41,0,55,8,0,12,1,4,7,5,3,0,0,0,2,46,38,179,151,100,324,270,634,0,0,0,9,0
"ASV26",0,120,4,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,12,0,0,0,0,0,0,0,0,0,18,0,405,0,0,0,0,0
"ASV28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV29",16,40,20,39,38,33,0,0,6,903,42,2,25,12,0,1,4,13,55,41,4,4,3,5,8,82,2,3,0,11,0,1,23,179,0,1,13,42,96
"ASV31",0,0,0,587,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2498,1,0,0,0,0,0,0,0,0,0,0
"ASV32",12,459,100,9,128,5,0,5,0,0,0,0,0,0,0,0,0,0,8,18,370,0,0,1,0,128,0,0,0,0,0,0,0,0,0,0,0,0,643
"ASV33",8,7,0,0,81,509,0,23,153,6,6,266,0,64,25,0,7,37,9,42,34,1,147,192,86,18,16,0,32,16,4,0,4,9,43,13,0,0,10
"ASV34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0
"ASV35",29,25,48,22,99,11,12,1,54,29,21,1,3,238,24,11,11,102,22,113,4,7,4,1,1,74,47,84,150,11,27,23,80,788,1,1,0,19,252
"ASV36",0,0,0,0,0,0,0,0,0,68,1516,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV37",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ASV39",0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV40",0,0,0,47,0,0,0,0,0,0,17,0,985,0,0,0,0,7,0,1987,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV42",1,11,4,1,0,0,2,34,0,247,82,0,69,0,2,31,0,8,0,0,1,3,0,0,0,36,2,3,0,20,118,109,77,337,0,0,0,0,0
"ASV44",39,0,0,14,0,0,0,0,229,28,0,0,0,70,0,7,12,7,30,35,0,0,0,0,0,0,55,0,0,2974,117,9,0,0,0,0,0,0,0
"ASV45",0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,2,282,0,0,0,0,0
"ASV49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV50",0,0,0,0,0,18,0,0,0,750,0,41,22,0,0,0,0,0,0,0,0,0,173,314,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV51",0,0,0,0,0,3,0,0,0,0,0,0,1563,2,486,0,0,2,1,29,0,0,0,0,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,1262,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV56",26,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,45,0,0,0,0,0,0,0,0,106,0,719,1,0,0,0,0,0
"ASV57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0
"ASV58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,1,0,0,0,0,0,0,0,0,0,0
"ASV59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,120,0,0,0,479,193,213,0,0,0,50,0
"ASV60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,1388,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV61",0,0,0,2,8,239,0,0,0,145,0,120,0,256,12,2,26,0,11,62,82,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV62",0,46,31,0,0,0,0,0,0,0,0,0,0,0,927,253,5,0,0,738,82,272,0,0,0,0,0,0,0,31,59,0,0,0,0,0,0,0,0
