DADA2_Header,Fraction,Province,Site,Soil_region,Plant_genotype,Latitude,Longitude,Altitude_range
A003,Rhizosphere,Azuay,Cajas_Toreadora,Central_Highlands,Altitude,-2.78,-79.22,Range-3940-4160
A006,Rhizosphere,Azuay,Cajas_Toreadora,Central_Highlands,Altitude,-2.78,-79.23,Range-3940-4160
A010,Rhizosphere,Azuay,Cajas_Toreadora,Central_Highlands,Altitude,-2.78,-79.23,Range-3940-4160
A011,Rhizosphere,Azuay,Cajas,Central_Highlands,Altitude,-2.77,-79.24,Range-3940-4160
A013,Rhizosphere,Azuay,Cajas,Central_Highlands,Altitude,-2.77,-79.24,Range-3940-4160
A019,Rhizosphere,Azuay,Cajas,Central_Highlands,Altitude,-2.77,-79.24,Range-3940-4160
A022,Rhizosphere,Azuay,Cajas_Cruces,Central_Highlands,Altitude,-2.77,-79.24,Range-3940-4160
A027,Rhizosphere,Azuay,Cajas_Cruces,Central_Highlands,Altitude,-2.77,-79.24,Range-3940-4160
B008,Rhizosphere,Bolivar,Cebapamba,Northern_Highlands,Center,-1.4,-79.02,Range-3388-3885
B015,Rhizosphere,Bolivar,Salinas_de_Guaranda,Northern_Highlands,Center,-1.4,-79.02,Range-3388-3885
B017,Rhizosphere,Bolivar,Salinas_de_Guaranda,Northern_Highlands,Center,-1.4,-79.02,Range-3388-3885
B021,Rhizosphere,Bolivar,Salinas_Norte,Northern_Highlands,Center,-1.37,-79,Range-3940-4160
C055,Rhizosphere,Cotopaxi,PNC,Northern_Highlands,Center,-0.56,-78.44,Range-3388-3885
C056,Rhizosphere,Cotopaxi,Quilotoa,Northern_Highlands,Altitude,-0.99,-78.93,Range-3940-4160
C062,Rhizosphere,Cotopaxi,Quilotoa,Northern_Highlands,Altitude,-1.001,-78.93,Range-3940-4160
C067,Rhizosphere,Cotopaxi,Sigchos,Northern_Highlands,Center,-0.71,-78.9,Range-2874-3248
CA008,Rhizosphere,Carchi,El_Angel,Northern_Highlands,North,0.64,-77.9,Range-3388-3885
CA011,Rhizosphere,Carchi,San_Gabriel,Northern_Highlands,North,0.65,-77.84,Range-3388-3885
CA020,Rhizosphere,Carchi,San_Gabriel,Northern_Highlands,North,0.65,-77.84,Range-3388-3885
CA025,Rhizosphere,Carchi,La_Cofradia,Northern_Highlands,North,0.7,-77.73,Range-2874-3248
H008,Rhizosphere,Chimborazo,Chambo_y_Quimiac,Northern_Highlands,North,-1.68,-78.51,Range-3388-3885
I047,Rhizosphere,Imbabura,Cuicocha,Northern_Highlands,Center,0.28,-78.35,Range-2874-3248
I063,Rhizosphere,Imbabura,Santa_Lucia,Northern_Highlands,North,0.28,-78.35,Range-2874-3248
I065,Rhizosphere,Imbabura,Cahuasqui,Northern_Highlands,North,0.56,-78.28,Range-3388-3885
L008,Rhizosphere,Loja,Saraguro,Southern_Highlands,South,-3.59,-79.28,Range-2874-3248
L011,Rhizosphere,Loja,Podocarpus,Southern_Highlands,South,-4.11,-79.17,Range-2874-3248
L017,Rhizosphere,Loja,Podocarpus,Southern_Highlands,South,-4.11,-79.17,Range-2874-3248
L022,Rhizosphere,Loja,Santiago,Southern_Highlands,South,-3.82,-79.3,Range-2874-3248
P045,Rhizosphere,Pichincha,Lloa,Northern_Highlands,Center,-0.2,-78.6,Range-3388-3885
P050,Rhizosphere,Pichincha,Lloa,Northern_Highlands,Center,-0.2,-78.6,Range-3388-3885
P052,Rhizosphere,Pichincha,Cayambe,Northern_Highlands,North,-0.02,-78.05,Range-3388-3885
P066,Rhizosphere,Pichincha,Mojanda,Northern_Highlands,Center,0.1,-78.25,Range-3388-3885
T006,Rhizosphere,Tungurahua,Carihuairazo,Northern_Highlands,Center,-1.37,-78.69,Range-3388-3885
T015,Rhizosphere,Tungurahua,Tisandeo,Northern_Highlands,Center,-1.16,-78.47,Range-3388-3885
U006,Rhizosphere,Canar,San_Miguel,Central_Highlands,South,-2.8,-78.82,Range-2874-3248
U012,Rhizosphere,Canar,Cerro_Abuga,Central_Highlands,South,-2.72,-78.82,Range-2874-3248
U019,Rhizosphere,Canar,Cerro_Abuga,Central_Highlands,South,-2.72,-78.82,Range-2874-3248
U020,Rhizosphere,Canar,Cerro_Abuga,Central_Highlands,South,-2.71,-78.82,Range-2874-3248
U026,Rhizosphere,Canar,Surimpalti,Central_Highlands,South,-2.74,-78.97,Range-2874-3248
